David Bowie,Aladdin Sane,3HZKOk1knxrUU3y5ZIOdbz
U2,All That You Can't Leave Behind,7gskILm9UyDvFlmmAoqn2g
Mary J. Blige,My Life,3g2sgN6wC92EwuEA9hLbH0
Muddy Waters,Folk Singer,6OjyU4DWN0AIgLeSSV1rrq
Barry White,Can't Get Enough,42Si9RbdXYGWQsfNTzjlnG
The Cars,The Cars,4tJPWT4r4FSKwy784Qs1Fq
Stevie Wonder,Music of My Mind,2R29Bc6COLVmmjLmy94Ren
Al Green,I'm Still in Love With You,7hI0QCwcx9GB8MZK24IfTT
X,Los Angeles,7mGsUwMuhsKiOKx9X9k7tj
Grateful Dead,Anthem of the Sun,7oA5LaCIn1BE0kNYbKbTgI
Al Green,Call Me,3QpNG7nH0VRIeKmMz7lEi7
Talking Heads,Talking Heads 77,5eqcF7pWzHgWpGdEmHgeSN
Bob Dylan and the Band,The Basement Tapes,6BOlD6UGUg45IsUXPSplkY
The Velvet Underground,White LightWhite Heat,7GPvyPgZ8Nc4yqP4uPo3Rv
MC5,Kick Out the Jams,0kT4F2mSpvTk3stwiaEStp
Leonard Cohen,Songs of Love and Hate,2Om4oR7plGGub1aYe5uB7B
The Smiths,Meat Is Murder,5DM1qCdgGt2zbknnsVn1Ca
The Mothers of Invention,We're Only in It for the Money,0L8n5dW0KfoNnLuYfyOFPg
Kanye West,The College Dropout,4Uv86qWpGTxf7fU7lG5X6F
Weezer,Weezer (Blue Album),1xpGyKyV26uPstk1Elgp9Q
Black Sabbath,Master of Reality,7pGb2cOGVz6vLyaZaKOQ7D
Dolly Parton,Coat of Many Colors,17CT6ru3CyDXAi6xVaSUzg
Public Enemy,Fear of a Black Planet,0aFNb4RDk2hmKKLa0bzXNz
Bob Dylan,John Wesley Harding,2KzCDxKpgLqBffHu1IZ7Kn
Jeff Buckley,Grace,6WgGWYw6XXQyLTsWt7tXky
Lucinda Williams,Car Wheels on a Gravel Road,3iC6dJobZulVXp0F4Bojig
Beck,Odelay,64vPyY759lLETSt8rvc7Sf
The Beatles,A Hard Day's Night,6wCttLq0ADzkPgtRnUihLV
Frank Sinatra,Songs for Swingin' Lovers,4kca7vXd1Wo5GE2DMafvMc
Creedence Clearwater Revival,Willy and the Poor Boys,31q47gQszFt0CddSyMksgO
Red Hot Chili Peppers,Blood Sugar Sex Magik,30Perjew8HyGkdSmqguYyg
Various,The Sun Records Collection,6gpxnJu7mXPcQqjImIAxM5
Jane's Addiction,Nothing's Shocking,4DVBJPJyizvHfJQt5pYaCa
Nirvana,MTV Unplugged in New York,1To7kv722A8SpZF789MZy7
Lauryn Hill,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD
Tom Petty and the Heartbreakers,Damn the Torpedoes,708Whrc4abJEtqBINv9S2b
The Velvet Underground,The Velvet Underground,4xwx0x7k6c5VuThz5qVqmV
Pixies,Surfer Rosa,2l7RPWC3E6eStJJLBsUeCI
The O'Jays,Back Stabbers,09jTPeDoSuJLLAwFGNUKCX
The Wailers,Burnin',1invpprZoPxP2H3CfGgSfJ
Radiohead,Amnesiac,6V9YnBmFjWmXCBaUVRCVXP
Nick Drake,Pink Moon,7KyvfoQhqlNLPNb98yY0pf
Randy Newman,Sail Away,13IbfiWa5dygjuGio0uSNP
